id	created	userId	walletAddress	usedRaffleCount
282	2023-06-20 11:40:24.104000	1050	0x7f4fEA3E644688b58431b84781F37368e3bddFd0	10
284	2023-06-20 11:50:49.412000	710	0xAb07cD89146EbbF4B37321740147BbE22E2E425a	4
285	2023-06-20 11:55:44.361000	732	0x73c02c4cC9003a8d82AA0Fa53a27F7D6A9C5F30B	1
286	2023-06-20 12:01:54.557000	118	0x64e64B741C44976151c2378dBb0CCD6fDbc06ceF	8
287	2023-06-20 12:04:28.009000	805	0xDF31fa1f27f72e1B27bf8126B13203F588BA58dB	1
288	2023-06-20 12:05:03.493000	8	0xab391dAa609B774aad5ab6C7d68236E04179D3e2	2
289	2023-06-20 12:14:26.854000	42	0x0714b7938905657eb774e94515b2c552d7863C89	2
290	2023-06-20 12:15:55.478000	22	0xdaB074eA22A4F02FBDa86caDa895E0D7327E4562	6
292	2023-06-20 12:18:24.826000	941	0x111c26A02ca4050684D4083d72E2A7C1dCbA853f	1
293	2023-06-20 12:20:32.233000	334	0x7777BD9A0dB40450F5afD50022Ac064F7B62bDe9	2
295	2023-06-20 12:38:03.535000	453	0x5D71db35D4054D912C5b1e72aedD28EEAc0A606A	3
296	2023-06-20 12:38:26.226000	1713	0xcA3066E3DA262CB2eAA75a8DB167B2664a57dC19	1
298	2023-06-20 12:41:47.703000	1317	0x34c8028eF5192e86caccA52fb4E27e40F1F89d18	8
299	2023-06-20 12:49:53.731000	1087	0x355C1Cf73c2c1D0193B0Dac92863D5F254A3E83D	1
300	2023-06-20 12:58:01.564000	1220	0x04334E35573C6a3d3B5aa2cCf783024cf45c5Dc3	2
302	2023-06-20 13:03:11.036000	657	0xb3c62900E46A9dD63827506562982a739E1bD1d2	8
305	2023-06-20 13:08:10.608000	1578	0x4b80Fffe097254Aa3918728a83350F74301C4199	1
307	2023-06-20 13:09:28.312000	1578	0x4b80Fffe097254Aa3918728a83350F74301C4199	1
308	2023-06-20 13:12:02.175000	1714	0xC2974774784708a0Fea116117886194752c4e76c	1
313	2023-06-20 13:42:40.132000	252	0x12bdEF535d714E38987C7E6970a2940D11AdDa93	8
355	2023-06-20 19:02:50.712000	1655	0x802c7A6359ce596Ad1484bF4EBce2523d46424a4	1
